Rk,Player,,,Team,Conf,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,So,6-8,DeSean Goode,Robert Morris,Horz,73.2,4.5,5.8,140.3,19.5,72.0,74.1,13.0,22.7,6.6,13.6,1.2,1.1,39.9,76-116,.655,3.4,18-27,.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Sr,6-9,Tyler Bilodeau,UCLA,B10,64.5,4.5,5.5,125.5,24.1,59.3,65.1,5.5,15.0,7.2,11.8,1.9,1.4,51.7,58-98,.592,7.5,21-53,.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sr,6-3,Ryan Conwell,Louisville,ACC,67.1,4.4,8.2,118.9,28.3,54.0,59.3,2.8,14.6,15.4,13.5,0.5,2.6,38.0,31-63,.492,19.2,56-150,.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Jr,6-9,Thomas Haugh,Florida,SEC,84.7,4.4,9.0,123.3,21.0,54.2,58.7,6.8,13.1,11.9,14.3,2.6,1.5,46.4,62-107,.579,8.5,28-85,.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Jr,6-9,JT Toppin,Texas Tech,B12,79.0,4.4,5.5,111.6,30.2,56.4,55.6,14.9,20.6,11.8,14.5,5.2,1.9,30.0,131-216,.606,3.0,4-27,.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Jr,6-3,Terrence Brown,Utah,B12,79.7,4.4,3.9,111.8,32.6,48.0,54.8,0.9,6.4,26.6,12.1,0.6,3.1,49.2,99-200,.495,6.1,16-56,.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Jr,6-5,Michael McNair,Boston University,Pat,85.7,4.4,3.7,130.3,20.5,64.7,65.8,3.8,13.2,14.2,10.3,0.7,2.1,28.2,35-66,.530,12.4,53-111,.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Sr,6-9,Trey Kaufman-Renn,Purdue,B10,59.8,4.4,7.4,124.8,24.6,57.9,58.6,18.3,24.4,16.4,14.5,0.9,1.2,20.0,81-139,.583,0.9,2-6,.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Jr,6-0,Markus Burton,Notre Dame,ACC,46.7,4.4,7.6,116.1,31.0,53.0,59.4,2.4,8.3,29.1,16.9,0.4,3.2,36.1,54-97,.557,7.2,11-36,.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Sr,5-10,Kenyon Giles,Wichita St.,Amer,85.3,4.4,7.2,126.9,21.4,55.2,57.7,0.6,7.3,9.3,8.2,0.2,2.5,16.8,39-89,.438,15.3,55-131,.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,So,6-7,Juke Harris,Wake Forest,ACC,79.2,4.4,6.9,118.0,27.0,55.2,60.7,5.5,17.6,9.4,13.6,1.0,2.7,59.2,63-105,.600,12.1,40-118,.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Jr,6-2,Jeremy Fears Jr.,Michigan St.,B10,76.7,4.3,7.7,125.2,23.4,45.2,56.1,1.2,8.3,49.6,18.2,0.0,2.0,59.3,43-93,.462,5.0,12-42,.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,So,6-9,Gus Yalden,Vermont,AE,50.6,4.3,9.2,125.7,35.9,62.1,63.6,13.0,14.0,23.3,10.0,2.1,0.8,32.1,74-116,.638,9.8,19-49,.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Sr,6-2,Cooper Noard,Cornell,Ivy,72.0,4.3,3.8,127.8,25.4,61.9,66.6,1.5,12.3,12.3,10.0,0.5,1.1,37.2,53-79,.671,14.2,39-101,.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Jr,6-4,Mason Falslev,Utah St.,MWC,77.9,4.3,10.9,126.6,22.5,57.4,60.9,7.3,15.9,14.5,12.3,1.8,5.3,39.4,65-111,.586,5.8,16-44,.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,So,6-9,Flory Bidunga,Kansas,B12,75.7,4.3,9.2,122.4,21.4,63.5,64.7,11.4,19.1,11.9,15.6,8.8,1.3,34.5,94-147,.639,0.1,0-1,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
